repo_full_name,owner,owner_type,repo_name,file_path,file_url,matched_query
stromseng/ais,stromseng,User,ais,src/ai.ts,https://github.com/stromseng/ais/blob/22a341ec38f387ece48e9040fc08d106617c8511/src/ai.ts,"""try"" ""JSON.parse"" ""openai"" language:TypeScript"
Sushants-Git/naash,Sushants-Git,User,naash,openai.ts,https://github.com/Sushants-Git/naash/blob/971f2bacd3d9028e0eb82b92974a01a0914e048a/openai.ts,"""try"" ""JSON.parse"" ""openai"" language:TypeScript"
OnlyEver/bulk-generation-setup,OnlyEver,Organization,bulk-generation-setup,src/app.ts,https://github.com/OnlyEver/bulk-generation-setup/blob/44d06fa8bf522e8986665ac2b62680b31e75f7cd/src/app.ts,"""try"" ""JSON.parse"" ""openai"" language:TypeScript"
webpilot-ai/Webpilot,webpilot-ai,Organization,Webpilot,src/io.ts,https://github.com/webpilot-ai/Webpilot/blob/867cb5bfa216826a401999e292c4ceb218db546e/src/io.ts,"""try"" ""JSON.parse"" ""openai"" language:TypeScript"
jensroth-git/UnifiedAI,jensroth-git,User,UnifiedAI,openAI.ts,https://github.com/jensroth-git/UnifiedAI/blob/a3a361a589ec901586251a2640f62ba2e0942edc/openAI.ts,"""try"" ""JSON.parse"" ""openai"" language:TypeScript"
Sh4yy/personal-ai,Sh4yy,User,personal-ai,src/chat.ts,https://github.com/Sh4yy/personal-ai/blob/e8fc7adef5758e69d94d8d36331e29d90b6d2809/src/chat.ts,"""JSON.parse"" ""chat.completions"" language:TypeScript"
hrishioa/lumentis,hrishioa,User,lumentis,src/ai.ts,https://github.com/hrishioa/lumentis/blob/15e8855eefed5e749ecd32d2521b8bab0fa01dda/src/ai.ts,"""JSON.parse"" ""chat.completions"" language:TypeScript"
braintrustdata/autoevals,braintrustdata,Organization,autoevals,js/ragas.ts,https://github.com/braintrustdata/autoevals/blob/f86168887c610bcb45b6cbaa377562992f7ba709/js/ragas.ts,"""JSON.parse"" ""chat.completions"" language:TypeScript"
pithings/clippy,pithings,Organization,clippy,demo/llm.ts,https://github.com/pithings/clippy/blob/748f199f0187f6f94ce395cdd55081f513476156/demo/llm.ts,"""JSON.parse"" ""chat.completions"" language:TypeScript"
copilot-extensions/github-models-extension,copilot-extensions,Organization,github-models-extension,src/index.ts,https://github.com/copilot-extensions/github-models-extension/blob/1b138fa6af3ca1ea183b5cc397778d3b3b544a52/src/index.ts,"""JSON.parse"" ""chat.completions"" language:TypeScript"
OpenGradient/typescript-sdk,OpenGradient,Organization,typescript-sdk,src/llm.ts,https://github.com/OpenGradient/typescript-sdk/blob/119caca76cdd6ef9a5388e611fd032330d18281d/src/llm.ts,"""retry"" ""JSON.parse"" ""LLM"" language:TypeScript"
angrysky56/Bayesian_MCTS_Agent,angrysky56,User,Bayesian_MCTS_Agent,flowMind16.ts,https://github.com/angrysky56/Bayesian_MCTS_Agent/blob/71cbd182c96c8c0b070bff5196d1e6b73e196e75/flowMind16.ts,"""retry"" ""JSON.parse"" ""LLM"" language:TypeScript"
deadlyjack/freight-forwarding,deadlyjack,User,freight-forwarding,lib/llm.ts,https://github.com/deadlyjack/freight-forwarding/blob/2f551210e601886d5445640372116cac85e790fe/lib/llm.ts,"""retry"" ""JSON.parse"" ""LLM"" language:TypeScript"
avifenesh/glide-mq,avifenesh,User,glide-mq,src/job.ts,https://github.com/avifenesh/glide-mq/blob/cdd0efabc3dd08d5ccb9b05c409c9290046e4ae8/src/job.ts,"""retry"" ""JSON.parse"" ""LLM"" language:TypeScript"
papismurf/dynamic-workers,papismurf,User,dynamic-workers,src/index.ts,https://github.com/papismurf/dynamic-workers/blob/a52669976c057f11bc4966633c626a17db250ebe/src/index.ts,"""retry"" ""JSON.parse"" ""LLM"" language:TypeScript"
